"# Mount St Helens; 46.2005,-122.1880; raw range 232–2087 m; blur 12"
-0.83574,-0.83579,-0.83485,-0.83062,-0.82030,-0.80158,-0.77342,-0.73644,-0.69307,-0.64718,-0.60351,-0.56680,-0.54078,-0.52729,-0.52584,-0.53394,-0.54808,-0.56509,-0.58313,-0.60192,-0.62193,-0.64315,-0.66413,-0.68212,-0.69405,-0.69762,-0.69149,-0.67476,-0.64620,-0.60422,-0.54783,-0.47785,-0.39752,-0.31208,-0.22756,-0.14959,-0.08283,-0.03117,0.00193,0.01390,0.00476,-0.02069,-0.05182,-0.07383,-0.07225,-0.03822,0.02815,0.11819,0.21824,0.31400,0.39331,0.44670,0.46676,0.44808,0.38860,0.29146,0.16623,0.02802,-0.10525,-0.21687,-0.29502,-0.33515,-0.34020,-0.31900,-0.28338,-0.24518,-0.21376,-0.19469,-0.18942,-0.19576,-0.20880,-0.22178,-0.22702,-0.21679,-0.18458,-0.12693,-0.04541,0.05216,0.15247,0.23980,0.30057,0.32733,0.32008,0.28475,0.22968,0.16239,0.08785,0.00866,-0.07377,-0.15802,-0.24184,-0.32187,-0.39364,-0.45190,-0.49136,-0.50790
-0.82901,-0.82921,-0.82861,-0.82490,-0.81528,-0.79746,-0.77037,-0.73462,-0.69249,-0.64763,-0.60452,-0.56769,-0.54080,-0.52574,-0.52223,-0.52808,-0.54010,-0.55538,-0.57228,-0.59061,-0.61079,-0.63269,-0.65465,-0.67375,-0.68677,-0.69128,-0.68591,-0.66971,-0.64145,-0.59959,-0.54321,-0.47316,-0.39270,-0.30704,-0.22218,-0.14375,-0.07650,-0.02446,0.00885,0.02093,0.01192,-0.01329,-0.04417,-0.06623,-0.06532,-0.03268,0.03188,0.12025,0.21940,0.31542,0.39623,0.45213,0.47541,0.46038,0.40469,0.31118,0.18898,0.05269,-0.08019,-0.19313,-0.27415,-0.31827,-0.32785,-0.31121,-0.27984,-0.24542,-0.21729,-0.20095,-0.19771,-0.20515,-0.21807,-0.22953,-0.23193,-0.21793,-0.18173,-0.12070,-0.03717,0.06058,0.15921,0.24339,0.30021,0.32289,0.31201,0.27385,0.21694,0.14885,0.07448,-0.00372,-0.08457,-0.16691,-0.24878,-0.32703,-0.39730,-0.45442,-0.49317,-0.50942
-0.81579,-0.81628,-0.81641,-0.81381,-0.80572,-0.78985,-0.76518,-0.73217,-0.69280,-0.65020,-0.60828,-0.57110,-0.54209,-0.52329,-0.51489,-0.51534,-0.52218,-0.53316,-0.54711,-0.56406,-0.58441,-0.60771,-0.63191,-0.65362,-0.66922,-0.67600,-0.67240,-0.65740,-0.62978,-0.58814,-0.53172,-0.46154,-0.38087,-0.29485,-0.20936,-0.13004,-0.06182,-0.00897,0.02484,0.03724,0.02871,0.00433,-0.02563,-0.04742,-0.04770,-0.01803,0.04229,0.12647,0.22292,0.31878,0.40223,0.46326,0.49357,0.48686,0.44019,0.35561,0.24119,0.11032,-0.02055,-0.13542,-0.22205,-0.27453,-0.29397,-0.28750,-0.26582,-0.24024,-0.21994,-0.21032,-0.21230,-0.22286,-0.23607,-0.24458,-0.24088,-0.21857,-0.17345,-0.10487,-0.01697,0.08091,0.17536,0.25200,0.29943,0.31255,0.29329,0.24877,0.18794,0.11838,0.04480,-0.03079,-0.10778,-0.18569,-0.26314,-0.33743,-0.40448,-0.45922,-0.49647,-0.51211
-0.80333,-0.80413,-0.80503,-0.80369,-0.79742,-0.78401,-0.76243,-0.73297,-0.69715,-0.65741,-0.61687,-0.57893,-0.54674,-0.52249,-0.50694,-0.49939,-0.49839,-0.50262,-0.51168,-0.52600,-0.54600,-0.57091,-0.59809,-0.62348,-0.64285,-0.65296,-0.65190,-0.63849,-0.61159,-0.57006,-0.51347,-0.44313,-0.36239,-0.27625,-0.19037,-0.11032,-0.04117,0.01250,0.04692,0.05992,0.05245,0.02986,0.00204,-0.01837,-0.01937,0.00675,0.06118,0.13876,0.22999,0.32366,0.40875,0.47520,0.51416,0.51871,0.48509,0.41425,0.31266,0.19187,0.06660,-0.04808,-0.13990,-0.20187,-0.23349,-0.24031,-0.23187,-0.21885,-0.21017,-0.21092,-0.22142,-0.23767,-0.25270,-0.25842,-0.24742,-0.21452,-0.15778,-0.07940,0.01394,0.11131,0.19923,0.26468,0.29856,0.29817,0.26741,0.21459,0.14911,0.07847,0.00688,-0.06436,-0.13560,-0.20728,-0.27885,-0.34813,-0.41128,-0.46326,-0.49882,-0.51380
-0.79899,-0.79993,-0.80123,-0.80072,-0.79587,-0.78465,-0.76602,-0.74005,-0.70772,-0.67070,-0.63125,-0.59207,-0.55595,-0.52516,-0.50101,-0.48373,-0.47294,-0.46845,-0.47079,-0.48101,-0.49971,-0.52584,-0.55614,-0.58574,-0.60957,-0.62363,-0.62547,-0.61369,-0.58725,-0.54546,-0.48846,-0.41800,-0.33759,-0.25201,-0.16661,-0.08671,-0.01743,0.03649,0.07122,0.08492,0.07910,0.05943,0.03535,0.01810,0.01786,0.04111,0.08914,0.15832,0.24147,0.32962,0.41322,0.48279,0.52949,0.54597,0.52773,0.47442,0.39057,0.28533,0.17113,0.06146,-0.03181,-0.10090,-0.14379,-0.16429,-0.17054,-0.17233,-0.17803,-0.19217,-0.21424,-0.23902,-0.25821,-0.26277,-0.24534,-0.20204,-0.13356,-0.04530,0.05301,0.14866,0.22811,0.28003,0.29805,0.28238,0.23918,0.17806,0.10874,0.03836,-0.02965,-0.09509,-0.15944,-0.22423,-0.28972,-0.35417,-0.41383,-0.46350,-0.49774,-0.51222
-0.80654,-0.80729,-0.80826,-0.80759,-0.80311,-0.79307,-0.77651,-0.75323,-0.72366,-0.68872,-0.64983,-0.60900,-0.56862,-0.53099,-0.49785,-0.47019,-0.44870,-0.43432,-0.42863,-0.43345,-0.44972,-0.47625,-0.50924,-0.54296,-0.57135,-0.58945,-0.59409,-0.58355,-0.55701,-0.51439,-0.45666,-0.38619,-0.30668,-0.22272,-0.13920,-0.06106,0.00676,0.05953,0.09356,0.10749,0.10345,0.08749,0.06854,0.05633,0.05894,0.08109,0.12356,0.18374,0.25661,0.33572,0.41364,0.48235,0.53377,0.56071,0.55822,0.52467,0.46251,0.37816,0.28122,0.18293,0.09408,0.02258,-0.02836,-0.06094,-0.08172,-0.09926,-0.12099,-0.15058,-0.18644,-0.22203,-0.24764,-0.25329,-0.23157,-0.17995,-0.10163,-0.00531,0.09631,0.18874,0.25854,0.29619,0.29825,0.26788,0.21350,0.14580,0.07454,0.00616,-0.05701,-0.11599,-0.17344,-0.23189,-0.29222,-0.35292,-0.41012,-0.45835,-0.49183,-0.50604
-0.82417,-0.82430,-0.82397,-0.82182,-0.81624,-0.80593,-0.79008,-0.76831,-0.74052,-0.70692,-0.66818,-0.62567,-0.58138,-0.53752,-0.49606,-0.45862,-0.42674,-0.40240,-0.38823,-0.38685,-0.39969,-0.42560,-0.46037,-0.49752,-0.52995,-0.55164,-0.55852,-0.54854,-0.52116,-0.47712,-0.41835,-0.34802,-0.27012,-0.18903,-0.10916,-0.03494,0.02903,0.07835,0.10972,0.12240,0.11929,0.10685,0.09358,0.08773,0.09521,0.11866,0.15767,0.20990,0.27194,0.33972,0.40836,0.47202,0.52423,0.55870,0.57052,0.55710,0.51888,0.45942,0.38512,0.30440,0.22613,0.15763,0.10269,0.06053,0.02629,-0.00696,-0.04527,-0.09106,-0.14153,-0.18886,-0.22217,-0.23068,-0.20708,-0.15002,-0.06503,0.03637,0.13890,0.22668,0.28656,0.31086,0.29887,0.25644,0.19378,0.12225,0.05123,-0.01382,-0.07177,-0.12479,-0.17652,-0.23010,-0.28676,-0.34498,-0.40069,-0.44811,-0.48121,-0.49529
-0.84506,-0.84417,-0.84159,-0.83661,-0.82842,-0.81632,-0.79979,-0.77836,-0.75151,-0.71881,-0.68028,-0.63669,-0.58961,-0.54104,-0.49304,-0.44759,-0.40685,-0.37364,-0.35146,-0.34374,-0.35245,-0.37667,-0.41203,-0.45145,-0.48688,-0.51123,-0.51953,-0.50936,-0.48048,-0.43455,-0.37462,-0.30470,-0.22920,-0.15233,-0.07807,-0.01033,0.04685,0.08958,0.11531,0.12418,0.11998,0.10963,0.10135,0.10212,0.11586,0.14296,0.18142,0.22835,0.28114,0.33761,0.39536,0.45117,0.50080,0.53955,0.56312,0.56847,0.55433,0.52155,0.47322,0.41448,0.35166,0.29072,0.23546,0.18625,0.14003,0.09188,0.03760,-0.02370,-0.08796,-0.14630,-0.18707,-0.19915,-0.17555,-0.11605,-0.02799,0.07496,0.17573,0.25766,0.30815,0.32128,0.29861,0.24799,0.18075,0.10831,0.03929,-0.02196,-0.07540,-0.12400,-0.17187,-0.22239,-0.27675,-0.33331,-0.38784,-0.43443,-0.46701,-0.48088
-0.86057,-0.85834,-0.85276,-0.84390,-0.83186,-0.81670,-0.79837,-0.77639,-0.74997,-0.71816,-0.68039,-0.63690,-0.58881,-0.53783,-0.48592,-0.43515,-0.38806,-0.34802,-0.31916,-0.30560,-0.30988,-0.33147,-0.36610,-0.40636,-0.44348,-0.46939,-0.47829,-0.46735,-0.43668,-0.38881,-0.32793,-0.25897,-0.18677,-0.11555,-0.04894,0.00963,0.05675,0.08936,0.10594,0.10779,0.09970,0.08917,0.08423,0.09086,0.11125,0.14379,0.18464,0.22987,0.27685,0.32452,0.37255,0.42018,0.46566,0.50626,0.53886,0.56043,0.56855,0.56173,0.53994,0.50494,0.46011,0.40955,0.35660,0.30249,0.24605,0.18458,0.11604,0.04127,-0.03448,-0.10166,-0.14837,-0.16371,-0.14133,-0.08208,0.00542,0.10623,0.20250,0.27757,0.31970,0.32448,0.29509,0.24051,0.17234,0.10146,0.03549,-0.02230,-0.07258,-0.11863,-0.16452,-0.21336,-0.26610,-0.32099,-0.37381,-0.41887,-0.45034,-0.46372
-0.86442,-0.86066,-0.85165,-0.83826,-0.82156,-0.80251,-0.78156,-0.75841,-0.73209,-0.70128,-0.66496,-0.62289,-0.57575,-0.52489,-0.47202,-0.41912,-0.36880,-0.32462,-0.29110,-0.27280,-0.27282,-0.29117,-0.32392,-0.36367,-0.40122,-0.42776,-0.43673,-0.42495,-0.39277,-0.34352,-0.28242,-0.21531,-0.14756,-0.08352,-0.02661,0.02019,0.05424,0.07353,0.07788,0.06995,0.05561,0.04286,0.03953,0.05075,0.07735,0.11610,0.16159,0.20864,0.25412,0.29737,0.33932,0.38116,0.42328,0.46494,0.50439,0.53911,0.56610,0.58219,0.58471,0.57230,0.54540,0.50602,0.45675,0.39951,0.33488,0.26247,0.18241,0.09724,0.01322,-0.05981,-0.11028,-0.12804,-0.10774,-0.05120,0.03220,0.12724,0.21633,0.28358,0.31845,0.31772,0.28544,0.23076,0.16479,0.09737,0.03500,-0.01986,-0.06820,-0.11309,-0.15806,-0.20570,-0.25663,-0.30908,-0.35915,-0.40162,-0.43117,-0.44373
