"# Yosemite Valley; 37.7450,-119.5900; raw range 796–3262 m; blur 12"
-0.08348,-0.07875,-0.06794,-0.05333,-0.03784,-0.02405,-0.01331,-0.00546,0.00081,0.00701,0.01421,0.02287,0.03339,0.04648,0.06317,0.08413,0.10896,0.13593,0.16253,0.18649,0.20693,0.22481,0.24267,0.26367,0.29038,0.32377,0.36286,0.40508,0.44711,0.48587,0.51925,0.54631,0.56730,0.58340,0.59642,0.60848,0.62163,0.63746,0.65680,0.67967,0.70547,0.73326,0.76194,0.79018,0.81605,0.83681,0.84909,0.84982,0.83766,0.81426,0.78469,0.75660,0.73817,0.73583,0.75250,0.78705,0.83521,0.89134,0.95030,1.00874,1.06521,1.11949,1.17140,1.22004,1.26371,1.30055,1.32913,1.34849,1.35754,1.35430,1.33619,1.30138,1.25078,1.18907,1.12396,1.06369,1.01429,0.97790,0.95303,0.93630,0.92461,0.91647,0.91212,0.91274,0.91921,0.93143,0.94815,0.96731,0.98636,1.00260,1.01370,1.01835,1.01692,1.01167,1.00599,1.00309
-0.07686,-0.07213,-0.06132,-0.04671,-0.03122,-0.01740,-0.00664,0.00121,0.00740,0.01340,0.02019,0.02823,0.03789,0.04994,0.06550,0.08536,0.10927,0.13563,0.16203,0.18629,0.20751,0.22653,0.24568,0.26782,0.29521,0.32867,0.36720,0.40840,0.44924,0.48693,0.51958,0.54638,0.56753,0.58411,0.59772,0.61032,0.62379,0.63967,0.65885,0.68147,0.70704,0.73467,0.76322,0.79122,0.81663,0.83659,0.84778,0.84727,0.83397,0.80975,0.77985,0.75191,0.73396,0.73219,0.74925,0.78386,0.83177,0.88748,0.94609,1.00438,1.06098,1.11563,1.16810,1.21745,1.26201,1.29983,1.32935,1.34940,1.35865,1.35507,1.33619,1.30049,1.24920,1.18726,1.12242,1.06285,1.01439,0.97900,0.95505,0.93916,0.92824,0.92091,0.91754,0.91932,0.92708,0.94054,0.95826,0.97802,0.99723,1.01329,1.02402,1.02829,1.02661,1.02124,1.01555,1.01266
-0.06256,-0.05778,-0.04687,-0.03213,-0.01650,-0.00255,0.00831,0.01618,0.02221,0.02774,0.03364,0.04028,0.04806,0.05785,0.07095,0.08844,0.11035,0.13543,0.16152,0.18663,0.20982,0.23164,0.25386,0.27863,0.30757,0.34107,0.37818,0.41690,0.45486,0.48997,0.52086,0.54696,0.56845,0.58609,0.60109,0.61491,0.62914,0.64518,0.66400,0.68598,0.71088,0.73794,0.76594,0.79316,0.81722,0.83514,0.84366,0.84025,0.82437,0.79844,0.76803,0.74077,0.72432,0.72425,0.74257,0.77763,0.82515,0.88003,0.93786,0.99584,1.05276,1.10830,1.16209,1.21311,1.25960,1.29950,1.33090,1.35215,1.36147,1.35672,1.33579,1.29788,1.24499,1.18258,1.11852,1.06072,1.01457,0.98160,0.95988,0.94593,0.93680,0.93136,0.93026,0.93479,0.94560,0.96204,0.98219,1.00346,1.02317,1.03888,1.04882,1.05225,1.04997,1.04433,1.03859,1.03572
-0.04552,-0.04055,-0.02922,-0.01396,0.00220,0.01660,0.02778,0.03577,0.04161,0.04653,0.05127,0.05617,0.06163,0.06866,0.07879,0.09340,0.11296,0.13664,0.16273,0.18945,0.21579,0.24183,0.26850,0.29693,0.32783,0.36112,0.39592,0.43087,0.46454,0.49582,0.52404,0.54901,0.57083,0.58987,0.60673,0.62228,0.63758,0.65383,0.67207,0.69297,0.71661,0.74237,0.76896,0.79436,0.81591,0.83045,0.83495,0.82745,0.80818,0.78033,0.74993,0.72453,0.71119,0.71451,0.73551,0.77191,0.81944,0.87346,0.93035,0.98794,1.04533,1.10215,1.15782,1.21109,1.26004,1.30231,1.33553,1.35742,1.36576,1.35845,1.33400,1.29268,1.23756,1.17473,1.11211,1.05718,1.01463,0.98532,0.96689,0.95572,0.94909,0.94629,0.94839,0.95686,0.97213,0.99298,1.01683,1.04054,1.06125,1.07676,1.08579,1.08816,1.08509,1.07907,1.07324,1.07039
-0.03206,-0.02665,-0.01435,0.00216,0.01956,0.03501,0.04693,0.05529,0.06108,0.06544,0.06912,0.07245,0.07590,0.08059,0.08822,0.10045,0.11817,0.14106,0.16788,0.19713,0.22766,0.25892,0.29079,0.32322,0.35597,0.38851,0.42017,0.45038,0.47881,0.50542,0.53036,0.55379,0.57576,0.59619,0.61502,0.63239,0.64880,0.66516,0.68252,0.70177,0.72327,0.74660,0.77043,0.79259,0.81020,0.82012,0.81967,0.80756,0.78493,0.75582,0.72671,0.70500,0.69692,0.70580,0.73140,0.77061,0.81904,0.87264,0.92869,0.98587,1.04374,1.10194,1.15965,1.21526,1.26648,1.31049,1.34436,1.36525,1.37069,1.35891,1.32940,1.28372,1.22611,1.16325,1.10294,1.05197,1.01414,0.98946,0.97503,0.96713,0.96334,0.96354,0.96934,0.98245,1.00308,1.02935,1.05789,1.08494,1.10740,1.12326,1.13172,1.13322,1.12945,1.12308,1.11720,1.11437
-0.02820,-0.02202,-0.00802,0.01069,0.03033,0.04770,0.06106,0.07029,0.07638,0.08055,0.08363,0.08610,0.08855,0.09215,0.09868,0.10995,0.12716,0.15046,0.17908,0.21175,0.24712,0.28392,0.32094,0.35698,0.39093,0.42200,0.44990,0.47490,0.49778,0.51952,0.54098,0.56265,0.58450,0.60599,0.62641,0.64522,0.66234,0.67836,0.69425,0.71103,0.72928,0.74875,0.76820,0.78548,0.79778,0.80217,0.79641,0.77997,0.75487,0.72593,0.69999,0.68415,0.68365,0.70038,0.73265,0.77636,0.82694,0.88087,0.93640,0.99315,1.05129,1.11060,1.17000,1.22745,1.28006,1.32440,1.35694,1.37447,1.37463,1.35638,1.32048,1.26992,1.21001,1.14781,1.09074,1.04471,1.01242,0.99296,0.98287,0.97837,0.97746,0.98071,0.99036,1.00838,1.03474,1.06693,1.10082,1.13202,1.15714,1.17427,1.18302,1.18434,1.18037,1.17399,1.16823,1.16550
-0.03816,-0.03089,-0.01443,0.00751,0.03051,0.05087,0.06656,0.07739,0.08441,0.08903,0.09235,0.09510,0.09804,0.10239,0.10984,0.12219,0.14075,0.16599,0.19751,0.23421,0.27447,0.31635,0.35764,0.39621,0.43036,0.45927,0.48315,0.50313,0.52092,0.53830,0.55668,0.57672,0.59821,0.62020,0.64141,0.66070,0.67756,0.69227,0.70571,0.71895,0.73267,0.74680,0.76032,0.77131,0.77729,0.77575,0.76503,0.74529,0.71928,0.69244,0.67175,0.66387,0.67295,0.69938,0.74000,0.78973,0.84371,0.89888,0.95434,1.01067,1.06870,1.12847,1.18873,1.24692,1.29945,1.34220,1.37109,1.38282,1.37551,1.34921,1.30615,1.25071,1.18906,1.12835,1.07535,1.03490,1.00854,0.99443,0.98864,0.98745,0.98935,0.99564,1.00916,1.03208,1.06413,1.10227,1.14173,1.17765,1.20636,1.22594,1.23623,1.23855,1.23534,1.22965,1.22444,1.22197
-0.06324,-0.05462,-0.03510,-0.00908,0.01828,0.04263,0.06157,0.07483,0.08358,0.08951,0.09411,0.09851,0.10367,0.11079,0.12138,0.13699,0.15886,0.18754,0.22282,0.26364,0.30819,0.35393,0.39798,0.43758,0.47083,0.49712,0.51723,0.53306,0.54699,0.56131,0.57765,0.59661,0.61769,0.63953,0.66036,0.67868,0.69372,0.70562,0.71526,0.72368,0.73164,0.73921,0.74567,0.74952,0.74881,0.74162,0.72688,0.70536,0.68038,0.65767,0.64414,0.64581,0.66570,0.70279,0.75263,0.80929,0.86762,0.92488,0.98084,1.03687,1.09440,1.15377,1.21362,1.27095,1.32152,1.36053,1.38359,1.38753,1.37128,1.33621,1.28602,1.22628,1.16371,1.10524,1.05681,1.02208,1.00149,0.99240,0.99058,0.99254,0.99736,1.00696,1.02456,1.05238,1.08986,1.13356,1.17835,1.21914,1.25210,1.27528,1.28854,1.29333,1.29220,1.28820,1.28419,1.28223
-0.10139,-0.09130,-0.06845,-0.03790,-0.00562,0.02336,0.04625,0.06262,0.07381,0.08191,0.08886,0.09622,0.10518,0.11689,0.13255,0.15334,0.18017,0.21345,0.25291,0.29747,0.34511,0.39301,0.43794,0.47700,0.50842,0.53203,0.54920,0.56238,0.57434,0.58752,0.60339,0.62224,0.64309,0.66412,0.68322,0.69875,0.70999,0.71723,0.72147,0.72383,0.72509,0.72544,0.72442,0.72104,0.71396,0.70192,0.68449,0.66295,0.64093,0.62419,0.61927,0.63134,0.66230,0.70994,0.76885,0.83251,0.89563,0.95564,1.01272,1.06869,1.12541,1.18342,1.24135,1.29587,1.34230,1.37547,1.39090,1.38588,1.36030,1.31681,1.26038,1.19743,1.13489,1.07920,1.03536,1.00593,0.99039,0.98561,0.98737,0.99258,1.00089,1.01459,1.03696,1.06991,1.11250,1.16106,1.21045,1.25570,1.29309,1.32063,1.33810,1.34679,1.34910,1.34789,1.34580,1.34465
-0.14753,-0.13605,-0.11001,-0.07508,-0.03797,-0.00434,0.02259,0.04230,0.05634,0.06716,0.07723,0.08850,0.10236,0.11988,0.14192,0.16917,0.20206,0.24062,0.28430,0.33186,0.38118,0.42939,0.47338,0.51055,0.53962,0.56097,0.57651,0.58901,0.60131,0.61558,0.63285,0.65276,0.67370,0.69333,0.70933,0.72016,0.72551,0.72618,0.72352,0.71886,0.71298,0.70612,0.69799,0.68801,0.67544,0.65971,0.64101,0.62109,0.60370,0.59436,0.59888,0.62146,0.66286,0.72000,0.78690,0.85685,0.92461,0.98771,1.04643,1.10263,1.15824,1.21388,1.26816,1.31770,1.35772,1.38313,1.38974,1.37553,1.34134,1.29085,1.22987,1.16522,1.10367,1.05103,1.01138,0.98634,0.97481,0.97354,0.97866,0.98769,1.00070,1.02000,1.04835,1.08695,1.13437,1.18685,1.23965,1.28835,1.32967,1.36171,1.38407,1.39765,1.40444,1.40689,1.40727,1.40716
